ITEM,EN RegEx,GE Dieter,,GE RegEx,alt1,alt2,alt3,alt4,alt5,CorrectSwedishTranslation1,CorrectSwedishTranslation2,CorrectSwedishTranslation3,CorrectSwedishTranslation4,CorrectSwedishTranslation5,CorrectSwedishTranslation6,CorrectSwedishTranslation7,CorrectSwedishTranslation8,CorrectSwedishTranslation9,CorrectSwedishTranslation10,CorrectSwedishTranslation11,CorrectSwedishTranslation12,CommentAboutSwedishTranslation,Swedish regexp corrected,FR Louise,alt1,alt2,alt3,alt4,alt5,CATEGORY,CLOSURE,EN (SV) ACTION,GE ACTION,Source-peFinder,Source-Original ConText,Source-criticlEventFinder-in addition to peFinder,Source-BioscopeAll,Source-BioscopeFiltered,Source-Development-Round1,Zogg's items,Source-Swedish-physician,Source-Swedish Guidelines,Ignore-ID from toCorrectReplacedRegEx_Final_toWendy.xlsx
adequate to rule the patient out against,,"angemessen, den Patienten davon auszuschließen",,"(angemessen|hinreichend|ausreichend|adäquat|richtig),(\s)?(den\sPatienten|die\sPatient(en|in|nen))\s(davon|von\s.*?)\s\bauszuschließen\b ::: (angemessen|hinreichend|ausreichend|adäquat|richtig),(\s)?(den\sPatienten|die\sPatient(en|in|nen))\s(nicht\sin\sBetracht\szu\sziehen|nicht\szu\sberücksichtigen)",,,,,,adekvat för att utesluta patienten mot,tillräckligt för att utesluta,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,4
are ruled out,,werden ausgeschlossen,,(sind|werden|wird)\s(davon|von\s.*?)\s(\bausgeschlossen\b|auszuschließen) ::: (werden|wird)(\sdafür|\sfür\s.*?)?\s(nicht\sin\sBetracht\sgezogen|nicht\sin\sFrage\skommen|nicht\sberücksichtigt),werden nicht in Betracht gezogen,,,,,är uteslutna,,,,,,,,,,,,,,sont écartées,est écarté,"a été écartée, est écartée",a été écarté,,ont été écartées,definiteNegatedExistence,,backward,backward,1,,,,,,,,,82
being ruled out,,wird ausgeschlossen,,,wird nicht in Betracht kommen,wird nicht in Frage kommen,,,,"inte är möjlig,",utesluts,,,,,,,,,,,,,"sont éliminés, sont éliminées",a été éliminé,"a été éliminée, est éliminé",ont été éliminés,,ont été éliminées,definiteNegatedExistence,,backward,backward,1,,,,,,,,,182
can be ruled out,,kann ausgeschlossen werden,,(kann|können)\s(er|sie|es|der\sPatient|die\sPatien(ten|tinnen|tin))(\sdavon)?(\svons.*?)?\s\bausgeschlossen\swerden ::: (kann|können)\snicht\s(in\sFrage|in\sBetracht)\s(gezogen\swerden|kommen),kann nicht in Betracht kommen,kann nicht in Frage kommen,,,,kan uteslutas,,,,,,,,,,,,,,"peut être écartée, peut être écarté",peut être éliminée,"peut être éliminé, peuvent être écartées",peuvent être écartés,peuvent être éliminées,peuvent être éliminés,definiteNegatedExistence,,backward,discontinuous,1,1,,,,,,,,154
can rule him out,,er kann ausgeschlossen werden,,,er kann nicht in Betracht kommen,er kann nicht in Frage kommen,,,,kan utesluta honom,kan utesluta att han,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,,,,,,,,,5
can rule him out against,"r""""""can\srule\s(her|him)\sout\sagainst""""""",er kann davon ausgeschlossen werden,,,er kann dafür nicht in Betracht kommen,er kann dafür nicht in Frage kommen,,,,kan utesluta honom mot,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",kan\sutesluta\s(henne|honom)\smot,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,18
can rule out,,kann man ausschließen,,,,,,,,kan utesluta,,,,,,,,,,,,,,peut éliminer,pouvons éliminer,peut écarter,pouvons écarter,,,definiteNegatedExistence,,forward,backward,1,,,,,,,,,1
can rule out against,,kann man davon ausschließen,,,,,,,,kan utesluta mot,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,28
can rule the patient out against,"r""""""can\srule\s(her|him)\sout\sagainst""""""",der Patient kann davon ausgeschlossen werden,,,,,,,,kan utesluta att patienten,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,17
cannot,,kann nicht,,(kann|können)(\sman)?\snicht,kann man nicht,ist nicht möglich,,,,kan inte,,,,,,,,,,,,,,ne peut pas,ne peuvent pas,ne pouvons pas,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,93
cleared of,,befreit von,,,,,,,,friad från,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,,,,,,,,1,,
declined,,lehnte ab,,(\bbestreit(et|en)\b|\bbestrit(t|ten)\b|\blehn(|t|en|te|ten)\b\s.*?\bab\b|wies(en)?\s.*?\bzurück\b|\bvernein(en|t|te|ten)?\b|abgelehnt|zurückgewiesen|zurückweis(t|en)),zurückgewiesen,verneint,,,,minskade,avböjde,avtog,,,,,,,,,,wrong word,,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,1,,,,,,,,78
declines,,lehnt ab,,,weist zurück,verneint,,,,avtar,avböja,minska,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,1,,,,,,,,79
denied,,verneinte,,,bestritt,,,,,förnekade,nekade,,,,,,,,,,,tens,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,76
denies,,verneint,,,bestreitet,,,,,förnekar,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,77
deny,,verneinen,,,bestreiten,,,,,förneka,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,,,,,,,,,75
did rule her out,,schloss sie aus,,schloss\s(sie|ihn|es|den\sPatienten|die\sPatient(en|in|innen))(\s(von\s.*?|davon\s))?\baus\b,,,,,,uteslöt henne,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,133
did rule her out against,,,,,,,,,,uteslöt henne mot,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,,1,,,,,,,,,129
did rule her out for,,schloss sie davon aus,,wurd(e|en)\s(sie|er|es|der\sPatient|die\sPatient(en|in|innen))(\s(von\s.*?|davon\s))?\bausgeschlossen\b,,,,,,uteslöt henne för,uteslöt henne mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,113
did rule him out,,schloss ihn aus,,,,,,,,uteslöt honom,uteslöt honom mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,backward,1,,,,,,,,,126
did rule him out against,,,,,,,,,,uteslöt honom,,,,,,,,,,,,"compound /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,,1,,,,,,,,,108
did rule him out for,,schloss ihn davon aus,,hat(sie|ihn|es|den\sPatienten|die\sPatient(en|in|innen)(\s(davon\s|von\s.*?))?\bausgeschlossen\b,,,,,,uteslöt honom för,uteslöt honom mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,114
did rule out,,schloss es aus,,,,,,,,uteslöt,,,,,,,,,,,,,,a éliminé / a  écarté,,avait éliminé / avait  écarté,avons éliminé / avons écarté,,avions éliminé /avions écarté,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,130
did rule out against,,,,,,,,,,uteslöt mot,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,,1,,,,,,,,,112
did rule out for,,wurde davon ausgeschlossen,,,,,,,,uteslöt,,,,,,,,,,,,prep,,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,107
did rule the patient out,,hat den Patienten davon ausgeschlossen,,,,,,,,uteslöt patienten,uteslöt patienten mot,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,91
did rule the patient out against,,,,,,,,,,uteslöt patienten för,uteslöt patienten mot,,,,,,,,,,,"compound /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,,1,,,,,,,,,99
did rule the patient out for,,hat den Patienten davon ausgeschlossen,,,,,,,,uteslöt patienten för,uteslöt patienten mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,discontinuous,1,,,,,,,,,106
excluded,,ausgeschlossen,,(ausgeschlossen|schloss(en)?\s.*?\baus\b),,,,,,stänga ute,uteslutna,exkluderade,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,bidirectional,bidirectional,,,,1,1,,,,,
free,,ohne,,,frei,,,,,fri,fri från,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,bidirectional,forward,1,1,,,,,,,,26
free of,,ohne,,,frei von,,,,,fri från,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,115
has been ruled out,,wurde ausgeschlossen,,(wurde|ist)\s(ausgeschlossen(\sworden)?|nicht\sberücksichtigt(\sworden)?),wurde nicht berücksichtigt,,,,,har uteslutits,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,backward,backward,1,,,,,,,,,101
have been ruled out,,wurden ausgeschlossen,,,,,,,,har uteslutits,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,backward,backward,1,,,,,,,,,135
is absent,,ist nicht vorhanden,,(fehlt|ist\snicht\svorhanden|besteht\snicht|existiert\snicht),ist nicht vorhanden,existiert nicht,besteht nicht,,,,,,,,,,,,,,,,,n'apparaît pas,n'apparaissent pas,n'existe pas,,,,definiteNegatedExistence,,backward,backward,,1,,,,,,,,
is negative,"r""(is|was) negative""",ist negativ,,,,,,,,är negativt,,,,,,,,,,,,,(är|var)negativt,,,,,,,definiteNegatedExistence,,backward,backward,1,,,,,,,,,95
is ruled out,,wird ausgeschlossen,,wird(\s(davon|von\s.*?))?\s\bausgeschlossen\b(\swerden)?,,,,,,är utesluten,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,backward,backward,1,,,,,,,,,90
negative examination for,"r""negative (examination|study|exam|evaluation) for""",negativer Befund für,,(Befund(e)?|Untersuchung(en)?|Ergebnis(e)?)(\s(ist|sind))?\s(für|in\sBezug\sauf|hinsichtlich|bezüglich|der|des|von|zu)\s.*?\bnegativ\b,die Untersuchung ist negativ,das Ergebnis ist negativ,,,,negativ undersökning för,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",negativ(undersökning|studie|examination|utvärdering)\sför,"être écartée, être écartées","être écarté, être écartés","être éliminée, être éliminées",être éliminé,être éliminés,,definiteNegatedExistence,,forward,forward,1,,,,,,,,,120
negative for,,negativ in Bezug auf,,negativ\s(in\sBezug\sauf|hinsichtlich|bezüglich),,,,,,negativa för,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,94
neither,,weder,,,,,,,,inte heller,heller inte,ej heller,heller ej,,,,,,,,,,,ni de,ni,,,,,definiteNegatedExistence,,forward,forward,,,,,,,,1,,
never developed,,entwickelte sich nie,,entwickelte\ssich\s(niemals|nie|überhaupt\snicht),entwickelte sich überhaupt nicht,entwickelte sich niemals,,,,utvecklade aldrig,,,,,,,,,,,,,,jamais développé,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,132
never had,,hatte niemals,,(hatte|war)\s(sich)?(nie(mals)?),war niemals,war nie,hatte nie,,,aldrig haft,,,,,,,,,,,,,,jamais eu,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,98
no,"r""\bno\b""",kein,,"\b(kein.{0,2}|nicht|nein)\b",nicht,nein,,,,ingen,,,,,,,,,,,,wrong word sens,(\bingen\b|\binga\b|\binget\b),aucun,aucune,aucuns,pas de,pas d',aucunes,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,127
no evidence,,keinen Beweis,,"\bkein.{0,2}\b\s(Daten|Information(en)?|Anhaltspunkt(e)?|Hinweis(e)?|Evidenz(en)?|Beweis(e)?|Nachweis(e)?)",keinen Anghaltspunkt,keine Evidenz,keine Anzeichen,keinen Nachweis,keine Informationen,inga tecken på,inga bevis på,inga bevis,,,,,,,,,,wrong word,,sans preuve de,sans preuve d',sans preuve,,,,definiteNegatedExistence,,forward,forward,1,1,,1,1,,,,,67
no new,,keine neue,,"kein.{0,2}\sneue.{0,2}",,,,,,ingen ny,,,,,,,,,,,,,,pas de nouveau,pas de nouvel,pas de nouvelle,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,110
no other,"r""""""no[\s]*other""""""",keine anderen,,"kein.{0,2}\s(andere.{0,1})",,,,,,inga andra,inga övriga,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,88
no support for,,keinen Hinweis auf,,"kein.{0,2}\s(Hinweis|Andeutung)\s(auf|für|in\sBezug\sauf|hinsichtlich|bezüglich)",keine Andeutung,,,,,inga belägg för,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,,,,,,,,,1,
no suspicion of,,kein Verdacht auf,,,,,,,,ingen misstanke på,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,,,,,,,,,1,
not,"r""\bnot\b""", nicht,,,,,,,,inte,,,,,,,,,,,,,(\binte\b|\bej\b),,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,97
not exhibit,,nicht zu sehen,,,nicht präsent,nicht vorhanden,,,,inte uppvisar,uppvisar inte,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,21
not had,,hatte nicht,,"(hatt.{0,2}\s(nicht|kein.{0,2})",hatte keinen,,,,,inte hade,,,,,,,,,,,,,,n'avait pas,n'a pas,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,104
not have,,nicht gehabt,,,,,,,,inte har,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,116
not seen,,nicht gesehen,,,,,,,,,inte sågs,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,backward,backward,,1,,,,,,,,
nothing,,nichts,,,,,,,,ingenting,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,,,,,,,,,20
patient was not,,Patienten war nicht,,"(Patient.{0,2}\s(war|waren)\s(nicht|kein)",,,,,,patient var inte,patienten var inte,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,100
reject,,lehnt ab,,"(ablehnen|lehn.{0,2}\s.*?\bab\b)",,,,,,avfärda,avfärdar,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,discontinuous,,,,1,1,,,,,
rejected,,lehnte ab,,"(ablehnt.{0,2}|lehnt.{0,2}\s.*?\bab\b)",,,,,,avfärdades,avfärdad,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,discontinuous,,,,1,1,,,,,
resolved,,Erklärung gefunden,,"(erklärt.{0,2}|löst{0,2})\bsich\b)",löste sich,Erklärung gefunden,,,,löst,borta,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,backward,bidirectional,1,1,,,,,,,,124
ruled her out,,traf für sie nicht zu,,,,,,,,uteslöt henne,,,,,,,,,,,,wrong word sens,,elle exclue,,,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,85
ruled her out against,"""""ruled\s(him|her)\sout\sagainst""""",,,,,,,,,uteslöt henne mot,,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,elle a statué contre,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,84
ruled her out for,,,,,,,,,,uteslöt henne,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,elle exclue pour,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,111
ruled him out,,traf für ihn nicht zu,,,,,,,,uteslöt honom,,,,,,,,,,,,"compound /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,l'a exclu,,,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,109
ruled him out against,,,,,,,,,,uteslöt honom mot,,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,a exclu contre,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,80
ruled him out for,,,,,,,,,,uteslöt honom mot,uteslöt honom mot,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,l'a exclu de,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,92
ruled out,,traf nicht zu,,,,,,,,uteslöt honom för,uteslöt honom mot,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,exclu,écarté,éliminé,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,125
ruled out against,,,,,,,,,,uteslöt,,,,,,,,,,,,tens,,exclu contre,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,118
ruled out for,,,,,,,,,,uteslöt mot,uteslöt mot,,,,,,,,,,,tens,,exclu pour,élimine,éliminons,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,119
ruled the patient out,,traf für den Patienten nicht zu,,,traf für die Patientin nicht zu,,,,,uteslutas för,uteslöt mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,a statué sur le patient,patient n'était pas,,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,123
ruled the patient out against,,,,,,,,,,uteslöt patienten,,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,a statué sur le patient contre,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,117
ruled the patient out for,,,,,,,,,,uteslöt patienten för,uteslöt patienten mot,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,a statué sur le patient pour,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,89
rules her out,,trifft für sie nicht zu,,,,,,,,uteslöt patienten för,uteslöt patienten mot,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,elle exclut,,,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,131
rules her out for,"r""""""rules\s(him|her)\sout\sfor""""""",,,,,,,,,utesluter henne,utesluter henne,,,,,,,,,,,wrong word,,elle exclut pour,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,122
rules him out,"r""""""rules\s(him|her)\sout""""""",trifft für ihn nicht zu,,,,,,,,utesluter henne för,utesluter henne mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,lui écarte,,,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,102
rules him out for,"r""""""rules\s(him|her)\sout\sfor""""""",schloss sie davon aus,,,,,,,,utesluter honom,,,,,,,,,,,,wrong word,,lui écarte pour,,,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,105
rules out,,trifft nicht zu,,,,,,,,utesluter honom för,utesluter honom mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,exclut,écarte,écartons,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,86
rules out for,,,,,,,,,,utesluter,,,,,,,,,,,,,,exclut pour,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,87
rules the patient out,,trifft für den Patienten nicht zu,,,trifft für die Patientin nicht zu,,,,,utesluter för,utesluter mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,backward,1,1,,,,,,,,121
rules the patient out for,,,,,,,,,,utesluter patienten ut för,utesluter patienten mot,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,definiteNegatedExistence,,forward,,1,1,,,,,,,,83
was ruled out,,wurde ausgeschlossen,,,wurden ausgeschlossen,,,,,uteslöts,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,backward,backward,1,1,,,,,,,,128
with no,,mit keinem,,"(mit\skein.{0,2})",,,,,,utan,med inga,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,103
without,,ohne,,,,,,,,utan,,,,,,,,,,,,,,,,,,,,definiteNegatedExistence,,forward,forward,1,1,,,,,,,,134
aunt,,Tante,,(Tante|Tantes),,,,,,faster,moster,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
aunt's,,Tantes,,,,,,,,fasters,mosters,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
brother,,Bruder,,(Bruder|Bruders),,,,,,bror,broder,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
brother's,,Bruders,,,,,,,,brors,broders,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
dad,,Vater,,(Vater|Vati|Papa|Papi),,,,,,pappa,fader,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
dad's,,Vaters,,(Vaters|Vatis|Papas|Papis),,,,,,pappas,faders,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
family history,,Krankengeschichte,,\b(Familienanamnese|Familienkrankengeschichte|Familiengeschichte|Krankengeschichte\sders\Familie)\b,,,,,,släkthistoria,heriditet,ärftlighet,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
father's,,Vaters,,,,,,,,fars,,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
grandfather,,Großvater,,\b(Großvater|Opa|Großvaters|Opas\b,,,,,,farfar,morfar,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
grandfather's,,Großvaters,,,,,,,,farfars,morfars,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
grandmother,,Großmutter,,\b(Großmutter|Oma|Großmutters|Omas\b,,,,,,mormor,farmor,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
grandmother's,,Großmutters,,,,,,,,mormors,farmors,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
husband,,Mann,,\b(Ehemann|Ehegatte|Gatte|Mann|Partner)\b,,,,,,man,make,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
husband's,,Manns,,\b(Ehemanns|Ehegatten|Gatten|Manns|Partners)\b,,,,,,mans,makens,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
mom,,Mutti,,\b(Mutter|Mama|Mutti|Mutters|Mamas|Muttis)\b,,,,,,mamma,mor,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
mom's,,Muttis,,,,,,,,mammas,,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
mother's,,Mutters,,,,,,,,mors,,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
roommate,,Mitbewohner,,,Zimmergenosse,Wohnpartner,,,,rumskamrat,,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
roommate's,,Mitbewohners,,,,,,,,rumskamrats,,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
sister,,Schwester,,,,,,,,syster,,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
sister's,,Schwesters,,,,,,,,systers,,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
uncle,,Onkel,,,,,,,,morbror,farbror,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
uncle's,,Onkels,,,,,,,,farbrors,morbrors,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
wife,,Frau,,,Ehefrau,Gattin,Ehegattin,,,fru,hustru,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
wife's,,Fraus,,,Ehefraus,Gattins,Ehegattins,,,fruns,hustruns,,,,,,,,,,,,,,,,,,,experiencer,,forward,forward,,1,,,,,,,,
as needed,,je nach Bedarf,,nach\s(Bedarf|Notwendigkeit),falls erforderlich,,,,,efter behov,,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
at risk for,"r""""""at\srisk\s(in\sthe\sfuture\s)?for""""""",ein Risiko für,,(ein|eine|die)\s(Risiko|Gefahr),gefährdet für,,,,,med risk för,,,,,,,,,,,,,,,,,,,,future,,forward,forward,,,1,,,,,,,
